"Szenario";"Type";"Age";"Min";"Q1";"Median";"Mean";"Q3";"Max";"SD";"UCB_95";"Mean_Exp_Age"
"1";"all";"88";"0";"300";"780";"1472.76";"1485";"21440";"2379.13";"6720";"93.02"
"1";"control";"88";"0";"0";"360";"488.04";"840";"1560";"477.81";"1440";"93.02"
"1";"perio";"88";"0";"0";"0";"472.72";"0";"16880";"1673.17";"4160";"93.02"
"1";"disease";"88";"0";"60";"165";"512";"315";"7800";"1050.67";"3000";"93.02"
"1";"all";"89";"0";"285";"735";"1344.42";"1365";"20880";"2188.64";"6000";"93.56"
"1";"control";"89";"0";"0";"360";"453.67";"720";"1440";"445.69";"1320";"93.56"
"1";"perio";"89";"0";"0";"0";"422.63";"0";"17040";"1536.86";"3640";"93.56"
"1";"disease";"89";"0";"45";"150";"468.11";"285";"7200";"973.68";"2760";"93.56"
"1";"all";"90";"0";"270";"630";"1232.45";"1245";"19120";"2010.84";"5520";"94.11"
"1";"control";"90";"0";"0";"360";"418.47";"720";"1320";"412.15";"1320";"94.11"
"1";"perio";"90";"0";"0";"0";"389.57";"0";"15280";"1417.81";"3440";"94.11"
"1";"disease";"90";"0";"45";"135";"424.4";"270";"6600";"879.63";"2400";"94.11"
"1";"all";"91";"0";"165";"600";"1132.27";"1200";"20160";"1858.64";"5120";"94.71"
"1";"control";"91";"0";"0";"240";"385.16";"600";"1200";"381.1";"1200";"94.71"
"1";"perio";"91";"0";"0";"0";"356.66";"0";"16680";"1313.46";"3080";"94.71"
"1";"disease";"91";"0";"45";"120";"390.46";"240";"6000";"814.95";"2400";"94.71"
"1";"all";"92";"0";"165";"570";"1034.6";"1095";"15040";"1700.29";"4560";"95.33"
"1";"control";"92";"0";"0";"240";"353.91";"600";"1080";"350.22";"1080";"95.33"
"1";"perio";"92";"0";"0";"0";"326.22";"0";"12080";"1202.85";"2720";"95.33"
"1";"disease";"92";"0";"45";"120";"354.46";"240";"5400";"740.61";"2040";"95.33"
"1";"all";"93";"0";"165";"480";"946.68";"1035";"16080";"1551.81";"4240";"95.96"
"1";"control";"93";"0";"0";"240";"325.58";"600";"960";"318.9";"960";"95.96"
"1";"perio";"93";"0";"0";"0";"297.67";"0";"13320";"1104.09";"2560";"95.96"
"1";"disease";"93";"0";"30";"105";"323.43";"225";"4800";"673.08";"2040";"95.96"
"1";"all";"94";"0";"165";"465";"857.59";"930";"12720";"1393.92";"3680";"96.63"
"1";"control";"94";"0";"0";"240";"297.58";"480";"840";"287.92";"840";"96.63"
"1";"perio";"94";"0";"0";"0";"266.84";"0";"10320";"995.71";"2200";"96.63"
"1";"disease";"94";"0";"30";"90";"293.17";"195";"4200";"605.47";"1680";"96.63"
"1";"all";"95";"0";"150";"450";"775.58";"855";"12000";"1246.98";"3520";"97.29"
"1";"control";"95";"0";"0";"240";"271.76";"480";"720";"256.24";"720";"97.29"
"1";"perio";"95";"0";"0";"0";"242.14";"0";"9960";"899.31";"2200";"97.29"
"1";"disease";"95";"0";"30";"90";"261.69";"180";"3600";"533.32";"1680";"97.29"
"1";"all";"96";"0";"150";"435";"687.42";"735";"11280";"1077.91";"3000";"97.95"
"1";"control";"96";"0";"0";"240";"244.24";"480";"600";"222.62";"600";"97.95"
"1";"perio";"96";"0";"0";"0";"211.63";"0";"9600";"784.47";"1840";"97.95"
"1";"disease";"96";"0";"30";"90";"231.55";"150";"3000";"464.07";"1320";"97.95"
"1";"all";"97";"0";"150";"390";"599.61";"600";"9680";"913.09";"2640";"98.6"
"1";"control";"97";"0";"0";"240";"215.36";"360";"480";"187.19";"480";"98.6"
"1";"perio";"97";"0";"0";"0";"183.67";"0";"8360";"674.81";"1480";"98.6"
"1";"disease";"97";"0";"30";"75";"200.58";"135";"2400";"390.48";"1320";"98.6"
"1";"all";"98";"0";"150";"315";"498.14";"465";"8080";"731.64";"1920";"99.19"
"1";"control";"98";"0";"0";"120";"182.32";"360";"360";"147.65";"360";"99.19"
"1";"perio";"98";"0";"0";"0";"150.16";"0";"7120";"555.27";"1280";"99.19"
"1";"disease";"98";"0";"30";"60";"165.66";"105";"1800";"311.83";"960";"99.19"
"1";"all";"99";"0";"150";"285";"368.87";"315";"5600";"508.91";"1200";"99.68"
"1";"control";"99";"0";"0";"120";"140.01";"240";"240";"103.53";"240";"99.68"
"1";"perio";"99";"0";"0";"0";"107.44";"0";"5000";"399.07";"600";"99.68"
